orientation,model,mse,rmse,mae,r2,mse_std
vote_orientation_pct_Centre,RandomForest,16.028492881623187,4.003560025979776,3.1222841289728422,0.8777473703958159,3.449689934000457
vote_orientation_pct_Centre,GradientBoosting,17.044386378489055,4.128484755753502,3.309516331771256,0.8704180528179146,4.416961273941931
vote_orientation_pct_Centre,LinearRegression,24.313907552403197,4.930913460242757,3.866217425148099,0.8187329418749268,3.1901190426055677
vote_orientation_pct_Centre,Ridge,24.408546332451188,4.940500615570368,3.8697131423980835,0.818122471239038,3.181723475685114
vote_orientation_pct_Centre,Lasso,24.412393543159748,4.940889954568888,3.8699221860407476,0.8180963190857774,3.183711041145877
vote_orientation_pct_Centre,kNN,30.723001719421415,5.5428333656552775,4.0564952337885245,0.7784678038898588,9.040024288397033
vote_orientation_pct_Centre,SVR,35.194694184523634,5.932511625317193,4.193681591587181,0.7495524422468481,14.233162231270406
vote_orientation_pct_Droite,RandomForest,28.42103027650914,5.3311378031813375,4.311208158489087,0.5163723752870641,2.1108343378520824
vote_orientation_pct_Droite,GradientBoosting,30.22541765465372,5.497764787134288,4.4977119590572405,0.4852530908645135,1.868096368322028
vote_orientation_pct_Droite,Ridge,32.56623585482238,5.706683437411119,4.482530688406061,0.4468452064905607,2.9868234871732557
vote_orientation_pct_Droite,Lasso,32.56800416646665,5.706838368700015,4.4827126604533145,0.4468137214581458,2.9850308742188267
vote_orientation_pct_Droite,LinearRegression,32.58706855674686,5.708508435374941,4.480626907032749,0.44642073127054055,2.906285961730529
vote_orientation_pct_Droite,SVR,38.10798768200267,6.173166746654643,4.853314669124591,0.35242071934267283,3.174358041877163
vote_orientation_pct_Droite,kNN,40.21754416452768,6.341730376208663,4.942941423429663,0.3173253852722194,4.749943896584441
vote_orientation_pct_Gauche,RandomForest,16.84545542217903,4.104321554432477,2.568380234810068,0.8721623442443265,5.821722519969238
vote_orientation_pct_Gauche,GradientBoosting,18.175411945069126,4.263263063085496,2.682335226905188,0.8621330396016091,6.825686148292932
vote_orientation_pct_Gauche,Ridge,19.86658156619167,4.457194360378698,2.919982670211778,0.8515021654354251,5.724252305889049
vote_orientation_pct_Gauche,Lasso,19.86980569535347,4.4575560226825495,2.9201945787008183,0.8514754075356168,5.724970573075712
vote_orientation_pct_Gauche,LinearRegression,19.874037532645453,4.458030678746553,2.9203416559153035,0.8514462532550755,5.73233607111489
vote_orientation_pct_Gauche,kNN,21.79264191718859,4.6682589813750255,2.83613184976383,0.8397239032896321,7.9658335028104945
vote_orientation_pct_Gauche,SVR,29.48451828206749,5.4299648509053435,3.197464380339188,0.7792678311729573,7.991303083390394
