,0
abstentions_pct,0.30063669149613187
wealth_per_capita,0.26519381851331525
immigration_rate,0.19689687632174885
average_price_per_m2,0.09512362808731108
criminality_indice,0.07885945333714096
unemployment_rate,0.058768362487281726
seniors,0.0016794670357045442
adults,0.0015666792307292116
childs,0.0012750234906365558
