orientation,model,mse,rmse,mae,r2,mse_std
vote_orientation_pct_Centre,GradientBoosting,12.83080914102228,3.582011884545092,2.8504331403975156,0.8691657735930762,1.4425973555409386
vote_orientation_pct_Centre,RandomForest,13.819837909416682,3.717504258157169,2.895364564081987,0.8602672341499762,2.394156341685449
vote_orientation_pct_Centre,SVR,20.001691605036534,4.472325078193281,3.4121970339270193,0.7993348313847007,5.20299616417031
vote_orientation_pct_Centre,Ridge,21.638483035419068,4.6517182884842745,3.4643052889562767,0.788083546442482,9.741911753361222
vote_orientation_pct_Centre,Lasso,21.64165108923141,4.652058801136483,3.4643786236225536,0.7880549687819564,9.74552156051326
vote_orientation_pct_Centre,LinearRegression,21.74909641296515,4.663592650839602,3.4702234151929536,0.7871164063400137,9.909593579590277
vote_orientation_pct_Centre,kNN,23.765729358498934,4.875010703424038,3.847749341664784,0.7620780356296009,5.428761651925442
vote_orientation_pct_Droite,GradientBoosting,17.392902621692144,4.17047990304379,3.334943969756222,0.8859108039987479,2.308769765591657
vote_orientation_pct_Droite,RandomForest,17.831937918833738,4.222787932022367,3.334388495163285,0.8824953008461909,2.681890907366628
vote_orientation_pct_Droite,LinearRegression,26.841192068554665,5.180848585758386,3.907179982799959,0.8243695169116332,7.002784247678234
vote_orientation_pct_Droite,SVR,27.080212817841705,5.2038651805981395,3.969877949265085,0.8220079414509932,5.0368512906253695
vote_orientation_pct_Droite,Ridge,27.083499025013385,5.204180917782681,3.929028920541989,0.8229096735179734,7.506944272403515
vote_orientation_pct_Droite,Lasso,27.087719088408228,5.204586351325937,3.929342930424734,0.8228827310148695,7.511067353470376
vote_orientation_pct_Droite,kNN,30.531576738846958,5.525538592648409,4.34808933007763,0.8001630541958056,4.110221787602846
vote_orientation_pct_Gauche,GradientBoosting,3.0834695578405436,1.7559810812877636,1.3360603250116319,0.6704886666467728,0.5292878325310914
vote_orientation_pct_Gauche,RandomForest,3.3655369364336125,1.8345399795135597,1.3465305758562531,0.6365695885590743,0.835369242780012
vote_orientation_pct_Gauche,Ridge,3.427361192464635,1.8513133696013313,1.404744099190856,0.6379550537052965,0.6043162387357122
vote_orientation_pct_Gauche,LinearRegression,3.4277603977381346,1.8514211832368492,1.405069032529643,0.6379528583273861,0.6057066019084608
vote_orientation_pct_Gauche,Lasso,3.4278950873754623,1.8514575575409398,1.404831660426463,0.6378930429512757,0.6045327884185722
vote_orientation_pct_Gauche,SVR,3.6835549975947375,1.9192589709559098,1.4539480109039051,0.6113528733063627,0.46613545067203926
vote_orientation_pct_Gauche,kNN,3.7236275677950004,1.9296703261943478,1.4718681629618229,0.6131209644729017,0.8997287736684637
